deck,m,@symbol1,@symbol2,@symbol3

A,,../../images/TIMER.png,../../images/DARKNESS.png,../../images/FORCEFUL.png
A,,../../images/TIMER.png,../../images/TRAP.png,../../images/FORCEFUL.png
A,,../../images/TIMER.png,../../images/SAFE.png,../../images/FORCEFUL.png
A,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/FORCEFUL.png
A,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/WEIRD.png
A,,../../images/TIMER.png,../../images/SAFE.png,../../images/WEIRD.png
A,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/DEADLY.png
A,,../../images/TIMER.png,../../images/SAFE.png,../../images/QUICK.png
A,,../../images/TIMER.png,../../images/MISFORTUNE.png,../../images/QUICK.png
A,,../../images/TIMER.png,../../images/TRAP.png,../../images/SNEAKY.png
A,"+1",../../images/DISCORD.png,../../images/DOOM.png,../../images/SNEAKY.png
A,,../../images/THREAT.png,../../images/SORCERY.png,../../images/SNEAKY.png
A,"+2",../../images/DISCORD.png,../../images/DARKNESS.png,../../images/SNEAKY.png
A,"+1",../../images/DISCORD.png,../../images/DARKNESS.png,../../images/QUICK.png
A,"+1",../../images/DISCORD.png,../../images/TRAP.png,../../images/GANG.png
A,"+1",../../images/DISCORD.png,../../images/DARKNESS.png,../../images/GANG.png
A,"+2",../../images/DISCORD.png,../../images/DOOM.png,../../images/GANG.png
A,"+1",../../images/DISCORD.png,../../images/DISASTER.png,../../images/GANG.png
A,"+3",../../images/DISCORD.png,../../images/DOOM.png,../../images/POISONOUS.png
A,"+1",../../images/APOTHEOSIS.png,../../images/DOOM.png,../../images/ELDRITCH.png
