location,region,shading,season,index,name,tags,skill,resource,@location_image,@location_back,symbol,texta,textb

Location,xxEMPIRE,EMxxFSQUAREEM,xxFALL,01,Guild of Strategy,"Urban, Vault",xxTHIEVERY,xxESPIONAGE,"..\images\ai_lands\nerals walking in dimly lit hall with marble columns, for dungeons and dragons, in the style of brom 9_42 93 180753.png",..\images\ai_lands\empire_gradient_overlay.png,,"xxRIGHTxxTOKEN","xxTOKENxxTOKENxxTOKEN xxRIGHT Upgrade apotheosis"
Location,xxEMPIRE,EMxxFSQUAREEM,xxSUMMER,02,Whitehold,"Urban",xxDISGUISE,xxTECHNOLOGY,"..\images\ai_lands\of fantasy military fort with white walls in the hills for dungeons and dragons, in the style of tuomas korpi 6_74 107 128924.png",..\images\ai_lands\empire_gradient_overlay.png,,"xxRIGHTxxTOKEN","xxTOKENxxTOKENxxTOKEN xxRIGHT Upgrade xxEMPIRE unit"
Location,xxEMPIRE,EMxxFSQUAREEM,xxSPRING,03,Eastkeep,"Rural, Fort",xxTACTICS,,"..\images\ai_lands\ain valley, for dungeons and dragons, in the style of mahmud asrar and john blanche and daniel horne 5_23 105 102090.png",..\images\ai_lands\empire_gradient_overlay.png,,
Location,xxEMPIRE,EMxxFSQUAREEM,xxSUMMER,04,Yearly Field,Rural,xxCOMBAT,,"..\images\ai_lands\ing of a green field with rocky monuments for dungeons and dragons, in the style of william-adolphe bouguereau 5_2 59 88765.png",..\images\ai_lands\empire_gradient_overlay.png,,

Location,xxBRIGHTDUNE,RBxxFSQUARERB,xxSUMMER,01,Parisa's Glen,"Urban, Hall",xxCOMMAND,xxSTABILITY,"..\images\ai_lands\tasy persian village with trading carts and amaranth, for dungeons and dragons, in the style of alphonse mucha 5_92 124 35620.png",..\images\ai_lands\sunbridle_gradient.png,,xxTOKEN xxRIGHT Discard up to two assets from draw piles,
Location,xxBRIGHTDUNE,RBxxFSQUARERB,xxSPRING,02,Boar's Rift,"Rural, Fort",xxTACTICS,xxMILITARY,"..\images\ai_lands\tall mountain in the background, in the style of william-adolphe bouguereau and russ nicholson and ian miller 5_53 72 65948.png",..\images\ai_lands\sunbridle_gradient.png,,"xxIMMEDIATExxTOKENxxTOKENxxTOKENxxTOKENxxTOKEN xxRIGHT Replace this location with The Long Wastes",
Location,xxBRIGHTDUNE,RBxxFSQUARERB,xxSUMMER,03,Sunbridle Bay,"Urban, Port",xxLORE,xxSTABILITY,..\images\ai_lands\amaranth_square.tif,..\images\ai_lands\sunbridle_gradient.png,xxBOAT,,

Location,xxSETTLED,SLxxFSQUARESL,xxSPRING,01,Hogel Manor,"Rural, Hall",xxRAPPORT,xxDIPLOMACY,"..\images\ai_lands\golian trading house, in wide open field, for dungeons and dragons, in the style of greg hildebrandt 9_0 64 14324.png",..\images\ai_lands\arankh_gradient.png,,"xxTOKENxxTOKENxxTOKEN xxRIGHT Place any available horse into xxASSET"
Location,xxSETTLED,SLxxFSQUARESL,xxSUMMER,02,Boar's Peak,"Rural, Peak",xxSURVIVAL,,"..\images\ai_lands\tapults in front of it, for dungeons and dragons, in the style of charlie bowater and arthur rackham 6_46 74 134040.png",..\images\ai_lands\arankh_gradient.png,,
Location,xxSETTLED,SLxxFSQUARESL,xxFALL,03,Gravewood,"Wilderness, Eldritch",xxSURVIVAL,xxSORCERY,"..\images\ai_lands\of glowing blue forest, dense trees, ghosts, for dungeons and dragons, in the style of tuomas korpi 6_61 69 156425.png",..\images\ai_lands\arankh_gradient.png,,
